,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,210,NMFINQRAG1-MF,NMFINQRAG1,,-1.000000,1,,NSE,1.000000
1,13883,BANCOINDIA-BL,BANCOINDIA,,-1.000000,1,,NSE,5.000000
2,12204,ANDHRSUGAR-BL,ANDHRSUGAR,,-1.000000,1,,NSE,5.000000
3,2224,621AS26-SG,621AS26,,-1.000000,100,,NSE,1.000000
4,12515,JINDALSAW-BL,JINDALSAW,,-1.000000,1,,NSE,5.000000
5,1700,532RJ25-SG,532RJ25,,-1.000000,100,,NSE,1.000000
6,10425,STEELCITY-BL,STEELCITY,,-1.000000,1,,NSE,5.000000
7,2053,INDIGOPNTS-BL,INDIGOPNTS,,-1.000000,1,,NSE,5.000000
8,21902,577KL25-SG,577KL25,,-1.000000,100,,NSE,1.000000
9,5394,MOL-EQ,MOL,,-1.000000,1,,NSE,5.000000
10,15010,MANGCHEFER-BL,MANGCHEFER,,-1.000000,1,,NSE,5.000000
11,14675,NAVINFLUOR-BL,NAVINFLUOR,,-1.000000,1,,NSE,5.000000
12,8521,SPRL-SM,SPRL,,-1.000000,1600,,NSE,5.000000
13,13049,759KA38-SG,759KA38,,-1.000000,100,,NSE,1.000000
14,3202,563GS2026-GS,563GS2026,,-1.000000,1,,NSE,1.000000
15,9273,IBULHSGFIN-YS,IBULHSGFIN,,-1.000000,1,,NSE,1.000000
16,11515,785PN42-SG,785PN42,,-1.000000,100,,NSE,1.000000
17,5426,NUVOCO-EQ,NUVOCO,,-1.000000,1,,NSE,5.000000
18,22024,721PY28-SG,721PY28,,-1.000000,100,,NSE,1.000000
19,18666,MITTAL-BE,MITTAL,,-1.000000,1,,NSE,5.000000
20,6840,FOCUS-BL,FOCUS,,-1.000000,1,,NSE,5.000000
21,3373,678RJ31A-SG,678RJ31A,,-1.000000,100,,NSE,1.000000
22,83,67ML30-SG,67ML30,,-1.000000,100,,NSE,1.000000
23,9928,785AP37-SG,785AP37,,-1.000000,100,,NSE,1.000000
24,3466,TFCILTD-EQ,TFCILTD,,-1.000000,1,,NSE,5.000000
25,22269,646WB30-SG,646WB30,,-1.000000,100,,NSE,1.000000
26,2414,723WB41-SG,723WB41,,-1.000000,100,,NSE,1.000000
27,2260,695TN31-SG,695TN31,,-1.000000,100,,NSE,1.000000
28,2824,ARVEE-BL,ARVEE,,-1.000000,1,,NSE,5.000000
29,20109,718BR30-SG,718BR30,,-1.000000,100,,NSE,1.000000
30,5142,CIGNITITEC-EQ,CIGNITITEC,,-1.000000,1,,NSE,5.000000
31,11790,GOYALALUM-BL,GOYALALUM,,-1.000000,1,,NSE,5.000000
32,1336,HEG-EQ,HEG,,-1.000000,1,,NSE,5.000000
33,18825,ENDURANCE-BL,ENDURANCE,,-1.000000,1,,NSE,5.000000
34,21977,721MP34-SG,721MP34,,-1.000000,100,,NSE,1.000000
35,20206,URJA-BL,URJA,,-1.000000,1,,NSE,5.000000
36,22449,645ML30-SG,645ML30,,-1.000000,100,,NSE,1.000000
37,6012,JAINAM-SM,JAINAM,,-1.000000,1000,,NSE,5.000000
38,12312,COSMOFIRST-BL,COSMOFIRST,,-1.000000,1,,NSE,5.000000
39,13116,QUICKHEAL-EQ,QUICKHEAL,,-1.000000,1,,NSE,5.000000
40,12167,BBTCL-BL,BBTCL,,-1.000000,1,,NSE,5.000000
41,21375,702BR30-SG,702BR30,,-1.000000,100,,NSE,1.000000
42,13162,CELEBRITY-EQ,CELEBRITY,,-1.000000,1,,NSE,5.000000
43,2481,ONWARDTEC-EQ,ONWARDTEC,,-1.000000,1,,NSE,5.000000
44,22415,LOVABLE-EQ,LOVABLE,,-1.000000,1,,NSE,5.000000
45,3989,GS220224C-GS,GS220224C,,-1.000000,100,,NSE,1.000000
46,16454,DENTALKART-SM,DENTALKART,,-1.000000,1000,,NSE,5.000000
47,8510,GATEWAY-EQ,GATEWAY,,-1.000000,1,,NSE,5.000000
48,5104,ABSLFTTJDG-MF,ABSLFTTJDG,,-1.000000,1,,NSE,1.000000
49,16948,ASHOKAMET-BL,ASHOKAMET,,-1.000000,1,,NSE,5.000000
50,9826,803AP35-SG,803AP35,,-1.000000,100,,NSE,1.000000
51,246,ADL-BL,ADL,,-1.000000,1,,NSE,5.000000
52,15343,SADHNANIQ-EQ,SADHNANIQ,,-1.000000,1,,NSE,5.000000
53,13566,AVONMORE-BE,AVONMORE,,-1.000000,1,,NSE,5.000000
54,20034,NABARD-N2,NABARD,,-1.000000,1,,NSE,1.000000
55,13869,AARTIPHARM-BL,AARTIPHARM,,-1.000000,1,,NSE,5.000000
56,14112,756TS48-SG,756TS48,,-1.000000,100,,NSE,1.000000
57,5945,UWCSL-SM,UWCSL,,-1.000000,2000,,NSE,5.000000
58,14111,NETWORK18-EQ,NETWORK18,,-1.000000,1,,NSE,5.000000
59,14347,769WB42-SG,769WB42,,-1.000000,100,,NSE,1.000000
60,7098,SGBD29VIII-GB,SGBD29VIII,,-1.000000,1,,NSE,1.000000
61,15508,74AS33-SG,74AS33,,-1.000000,100,,NSE,1.000000
62,17105,SUMICHEM-EQ,SUMICHEM,,-1.000000,1,,NSE,5.000000
63,17518,SETCO-BE,SETCO,,-1.000000,1,,NSE,5.000000
64,1480,REPL-EQ,REPL,,-1.000000,1,,NSE,5.000000
65,14786,MANV30F-EQ,MANV30F,,-1.000000,1,,NSE,1.000000
66,8650,BLUECHIP-BE,BLUECHIP,,-1.000000,1,,NSE,5.000000
67,14235,HDFCSML250-BL,HDFCSML250,,-1.000000,1,,NSE,1.000000
68,22095,714UP30-SG,714UP30,,-1.000000,100,,NSE,1.000000
69,11932,FUSION-EQ,FUSION,,-1.000000,1,,NSE,5.000000
70,1652,663TN35-SG,663TN35,,-1.000000,100,,NSE,1.000000
71,4579,68MH31-SG,68MH31,,-1.000000,100,,NSE,1.000000
72,13420,JETAIRWAYS-BZ,JETAIRWAYS,,-1.000000,1,,NSE,5.000000
73,11939,AMIABLE-SM,AMIABLE,,-1.000000,1600,,NSE,5.000000
74,2324,SMCGLOBAL-BL,SMCGLOBAL,,-1.000000,1,,NSE,5.000000
75,9776,78TN32-SG,78TN32,,-1.000000,100,,NSE,1.000000
76,6354,MAN50ETF-BL,MAN50ETF,,-1.000000,1,,NSE,1.000000
77,22242,SGBJUL28IV-GB,SGBJUL28IV,,-1.000000,1,,NSE,1.000000
78,1406,HINDPETRO-EQ,HINDPETRO,,-1.000000,1,,NSE,5.000000
79,7674,IIHFL-NE,IIHFL,,-1.000000,1,,NSE,1.000000
80,14008,AVTNPL-EQ,AVTNPL,,-1.000000,1,,NSE,5.000000
81,24951,L&TFH-BL,L&TFH,,-1.000000,1,,NSE,5.000000
82,11956,MEDANTA-EQ,MEDANTA,,-1.000000,1,,NSE,5.000000
83,21154,ERIS-EQ,ERIS,,-1.000000,1,,NSE,5.000000
84,21982,735MP29-SG,735MP29,,-1.000000,100,,NSE,1.000000
85,14871,USK-EQ,USK,,-1.000000,1,,NSE,5.000000
86,21904,791KL30-SG,791KL30,,-1.000000,100,,NSE,1.000000
87,7938,AGSTRA-BL,AGSTRA,,-1.000000,1,,NSE,5.000000
88,1677,HGINFRA-BL,HGINFRA,,-1.000000,1,,NSE,5.000000
89,9437,763MH30-SG,763MH30,,-1.000000,100,,NSE,1.000000
90,10844,77TN42-SG,77TN42,,-1.000000,100,,NSE,1.000000
91,12183,ACC-BL,ACC,,-1.000000,1,,NSE,5.000000
92,21906,896KL35-SG,896KL35,,-1.000000,100,,NSE,1.000000
93,12416,GTL-BL,GTL,,-1.000000,1,,NSE,5.000000
94,9523,SFMP1GD-MF,SFMP1GD,,-1.000000,1,,NSE,1.000000
95,13712,754AP29-SG,754AP29,,-1.000000,100,,NSE,1.000000
96,9518,DHANILOANS-Y3,DHANILOANS,,-1.000000,1,,NSE,1.000000
97,17352,NAVIFIN-N8,NAVIFIN,,-1.000000,1,,NSE,1.000000
98,11151,SHRENIK-BL,SHRENIK,,-1.000000,1,,NSE,5.000000
99,3752,68RJ31-SG,68RJ31,,-1.000000,100,,NSE,1.000000
100,12425,HARRMALAYA-BL,HARRMALAYA,,-1.000000,1,,NSE,5.000000
101,17295,NAGAFERT-EQ,NAGAFERT,,-1.000000,1,,NSE,5.000000
102,14592,FORTIS-EQ,FORTIS,,-1.000000,1,,NSE,5.000000
103,17722,DEN-EQ,DEN,,-1.000000,1,,NSE,5.000000
104,223,IEX-BL,IEX,,-1.000000,1,,NSE,5.000000
105,22099,729UP29-SG,729UP29,,-1.000000,100,,NSE,1.000000
106,12798,SUPREMEIND-BL,SUPREMEIND,,-1.000000,1,,NSE,5.000000
107,4789,712AP37-SG,712AP37,,-1.000000,100,,NSE,1.000000
108,355,SGBOCT25V-GB,SGBOCT25V,,-1.000000,1,,NSE,1.000000
109,13260,KEC-EQ,KEC,,-1.000000,1,,NSE,5.000000
110,8966,HARDWYN-BL,HARDWYN,,-1.000000,1,,NSE,5.000000
111,5045,724TS51-SG,724TS51,,-1.000000,100,,NSE,1.000000
112,14854,783RJ50-SG,783RJ50,,-1.000000,100,,NSE,1.000000
113,13565,RAMANEWS-EQ,RAMANEWS,,-1.000000,1,,NSE,5.000000
114,9941,ONEPOINT-BL,ONEPOINT,,-1.000000,1,,NSE,5.000000
115,12368,FINCABLES-BL,FINCABLES,,-1.000000,1,,NSE,5.000000
116,4546,GS220840C-GS,GS220840C,,-1.000000,100,,NSE,1.000000
117,25314,UFIQIPRRVI-MF,UFIQIPRRVI,,-1.000000,1,,NSE,1.000000
118,22338,661MP35-SG,661MP35,,-1.000000,100,,NSE,1.000000
119,15285,QUICKTOUCH-SM,QUICKTOUCH,,-1.000000,2000,,NSE,5.000000
120,8423,RUCHINFRA-BE,RUCHINFRA,,-1.000000,1,,NSE,5.000000
121,8538,H1162D46DD-MF,H1162D46DD,,-1.000000,1,,NSE,1.000000
122,13897,769MZ37-SG,769MZ37,,-1.000000,100,,NSE,1.000000
123,5606,INTLCONV-EQ,INTLCONV,,-1.000000,1,,NSE,5.000000
124,3579,UNICHEMLAB-EQ,UNICHEMLAB,,-1.000000,1,,NSE,5.000000
125,27161,CINELINE-EQ,CINELINE,,-1.000000,1,,NSE,5.000000
126,12667,76GJ32-SG,76GJ32,,-1.000000,100,,NSE,1.000000
127,12891,WELSPUNIND-BL,WELSPUNIND,,-1.000000,1,,NSE,5.000000
128,385,MAHLOG-EQ,MAHLOG,,-1.000000,1,,NSE,5.000000
129,16426,MMP-BE,MMP,,-1.000000,1,,NSE,5.000000
130,10247,782HP32-SG,782HP32,,-1.000000,100,,NSE,1.000000
131,623,SGBDEC25-GB,SGBDEC25,,-1.000000,1,,NSE,1.000000
132,13023,DHANILOANS-NQ,DHANILOANS,,-1.000000,1,,NSE,1.000000
133,20844,72HP35-SG,72HP35,,-1.000000,100,,NSE,1.000000
134,21919,642MN30-SG,642MN30,,-1.000000,100,,NSE,1.000000
135,15147,AGUL-SM,AGUL,,-1.000000,2000,,NSE,5.000000
136,7640,IIHFL-N7,IIHFL,,-1.000000,1,,NSE,1.000000
137,22217,729GA29-SG,729GA29,,-1.000000,100,,NSE,1.000000
138,22413,666TN30-SG,666TN30,,-1.000000,100,,NSE,1.000000
139,3024,JINDALSAW-EQ,JINDALSAW,,-1.000000,1,,NSE,5.000000
140,12729,SAKHTISUG-BL,SAKHTISUG,,-1.000000,1,,NSE,5.000000
141,22206,731TS60-SG,731TS60,,-1.000000,100,,NSE,1.000000
142,5202,GRAUWEIL-BL,GRAUWEIL,,-1.000000,1,,NSE,5.000000
143,8574,724RJ32B-SG,724RJ32B,,-1.000000,100,,NSE,1.000000
144,21907,565KL24-SG,565KL24,,-1.000000,100,,NSE,1.000000
145,3672,SOLARA-EQ,SOLARA,,-1.000000,1,,NSE,5.000000
146,7694,718KA33-SG,718KA33,,-1.000000,100,,NSE,1.000000
147,3412,AJOONI-BL,AJOONI,,-1.000000,1,,NSE,5.000000
148,13725,DCBBANK-EQ,DCBBANK,,-1.000000,1,,NSE,5.000000
149,15377,PDMJEPAPER-EQ,PDMJEPAPER,,-1.000000,1,,NSE,5.000000
150,9491,DHANILOANS-NZ,DHANILOANS,,-1.000000,1,,NSE,1.000000
151,6330,699AS31-SG,699AS31,,-1.000000,100,,NSE,1.000000
152,1145,GIPCL-EQ,GIPCL,,-1.000000,1,,NSE,5.000000
153,416,56RJ24-SG,56RJ24,,-1.000000,100,,NSE,1.000000
154,10463,782NL32-SG,782NL32,,-1.000000,100,,NSE,1.000000
155,21040,641GA30-SG,641GA30,,-1.000000,100,,NSE,1.000000
156,20302,PRESTIGE-EQ,PRESTIGE,,-1.000000,1,,NSE,5.000000
157,20560,DOLLAR-EQ,DOLLAR,,-1.000000,1,,NSE,5.000000
158,11472,LLOYDS-SM,LLOYDS,,-1.000000,3000,,NSE,5.000000
159,2400,735KA39-SG,735KA39,,-1.000000,100,,NSE,1.000000
160,1186,GLAND-EQ,GLAND,,-1.000000,1,,NSE,5.000000
161,17088,MAGSON-SM,MAGSON,,-1.000000,2000,,NSE,5.000000
162,3154,BORORENEW-BL,BORORENEW,,-1.000000,1,,NSE,5.000000
163,341,BALRAMCHIN-EQ,BALRAMCHIN,,-1.000000,1,,NSE,5.000000
164,22156,695SK30-SG,695SK30,,-1.000000,100,,NSE,1.000000
165,18255,SPAL-BL,SPAL,,-1.000000,1,,NSE,5.000000
166,13756,SHIVAMAUTO-EQ,SHIVAMAUTO,,-1.000000,1,,NSE,5.000000
167,12257,BHARATFORG-BL,BHARATFORG,,-1.000000,1,,NSE,5.000000
168,10230,MANORAMA-BE,MANORAMA,,-1.000000,1,,NSE,5.000000
169,625,CENTURYTEX-EQ,CENTURYTEX,,-1.000000,1,,NSE,5.000000
170,2191,GENCON-BE,GENCON,,-1.000000,1,,NSE,5.000000
171,14471,ABSLFTUFDN-MF,ABSLFTUFDN,,-1.000000,1,,NSE,1.000000
172,17039,IIFL-NZ,IIFL,,-1.000000,1,,NSE,1.000000
173,20137,RAMKY-BL,RAMKY,,-1.000000,1,,NSE,5.000000
174,10261,SGBJUN27-GB,SGBJUN27,,-1.000000,1,,NSE,1.000000
175,7534,704UP31-SG,704UP31,,-1.000000,100,,NSE,1.000000
176,13180,STERTOOLS-BL,STERTOOLS,,-1.000000,1,,NSE,5.000000
177,8122,737AP38-SG,737AP38,,-1.000000,100,,NSE,1.000000
178,11861,IBULHSGFIN-ZN,IBULHSGFIN,,-1.000000,1,,NSE,1.000000
179,6943,TARSONS-EQ,TARSONS,,-1.000000,1,,NSE,5.000000
180,22166,706UK30-SG,706UK30,,-1.000000,100,,NSE,1.000000
181,11985,768BR32-SG,768BR32,,-1.000000,100,,NSE,1.000000
182,22216,717BR30-SG,717BR30,,-1.000000,100,,NSE,1.000000
183,7734,IBULHSGFIN-NZ,IBULHSGFIN,,-1.000000,1,,NSE,1.000000
184,13833,IIFL-NO,IIFL,,-1.000000,1,,NSE,1.000000
185,2807,CHEMFAB-BL,CHEMFAB,,-1.000000,1,,NSE,5.000000
186,22292,577GS2030-GS,577GS2030,,-1.000000,1,,NSE,1.000000
187,8683,729GJ32-SG,729GJ32,,-1.000000,100,,NSE,1.000000
188,12054,BLBLIMITED-BL,BLBLIMITED,,-1.000000,1,,NSE,5.000000
189,1100,GARFIBRES-EQ,GARFIBRES,,-1.000000,1,,NSE,5.000000
190,20563,DOLLAR-BL,DOLLAR,,-1.000000,1,,NSE,5.000000
191,17265,364D110724-TB,364D110724,,-1.000000,100,,NSE,1.000000
192,477,BIRLACABLE-EQ,BIRLACABLE,,-1.000000,1,,NSE,5.000000
193,19114,NBIFIN-BL,NBIFIN,,-1.000000,1,,NSE,5.000000
194,3505,PGINVIT-BL,PGINVIT,,-1.000000,1,,NSE,1.000000
195,13125,KERNEX-BE,KERNEX,,-1.000000,1,,NSE,5.000000
196,11227,UGROCAP-N6,UGROCAP,,-1.000000,1,,NSE,1.000000
197,7194,657GS2033-GS,657GS2033,,-1.000000,1,,NSE,1.000000
198,12124,DOLATALGO-EQ,DOLATALGO,,-1.000000,1,,NSE,5.000000
199,15141,COLPAL-EQ,COLPAL,,-1.000000,1,,NSE,5.000000
200,13368,758JH31-SG,758JH31,,-1.000000,100,,NSE,1.000000
201,20336,SHANKARA-BL,SHANKARA,,-1.000000,1,,NSE,5.000000
202,7401,RAJESHEXPO-EQ,RAJESHEXPO,,-1.000000,1,,NSE,5.000000
203,3425,INDIGRID-ND,INDIGRID,,-1.000000,1,,NSE,1.000000
204,8187,709AS32-SG,709AS32,,-1.000000,100,,NSE,1.000000
205,14104,PTL-BL,PTL,,-1.000000,1,,NSE,5.000000
206,19322,HISARMETAL-EQ,HISARMETAL,,-1.000000,1,,NSE,5.000000
207,21260,TRANSWIND-SM,TRANSWIND,,-1.000000,4000,,NSE,5.000000
208,14672,NAVINFLUOR-EQ,NAVINFLUOR,,-1.000000,1,,NSE,5.000000
209,18965,RAJRATAN-BL,RAJRATAN,,-1.000000,1,,NSE,5.000000
210,13816,DAAWAT-EQ,DAAWAT,,-1.000000,1,,NSE,5.000000
211,16133,KRISHCA-SM,KRISHCA,,-1.000000,2000,,NSE,5.000000
212,6563,70AP38A-SG,70AP38A,,-1.000000,100,,NSE,1.000000
213,12533,AAATECH-EQ,AAATECH,,-1.000000,1,,NSE,5.000000
214,3880,SOMANYCERA-EQ,SOMANYCERA,,-1.000000,1,,NSE,5.000000
215,12363,SCHAEFFLER-BL,SCHAEFFLER,,-1.000000,1,,NSE,5.000000
216,4202,GS150925C-GS,GS150925C,,-1.000000,100,,NSE,1.000000
217,10257,792AP42A-SG,792AP42A,,-1.000000,100,,NSE,1.000000
218,1651,663KA34-SG,663KA34,,-1.000000,100,,NSE,1.000000
219,13344,VAKRANGEE-BL,VAKRANGEE,,-1.000000,1,,NSE,5.000000
220,5674,685GA31B-SG,685GA31B,,-1.000000,100,,NSE,1.000000
221,12421,GFLLIMITED-BL,GFLLIMITED,,-1.000000,1,,NSE,5.000000
222,12851,TVTODAY-BL,TVTODAY,,-1.000000,1,,NSE,5.000000
223,1212,635MH28-SG,635MH28,,-1.000000,100,,NSE,1.000000
224,11187,IDFCFIRSTB-BL,IDFCFIRSTB,,-1.000000,1,,NSE,5.000000
225,20174,ARIHANTSUP-BL,ARIHANTSUP,,-1.000000,1,,NSE,5.000000
226,2151,BDL-BL,BDL,,-1.000000,1,,NSE,5.000000
227,13544,VIDHIING-BL,VIDHIING,,-1.000000,1,,NSE,5.000000
228,7011,897GS2030-GS,897GS2030,,-1.000000,1,,NSE,1.000000
229,13556,HDFC1204RQ-MF,HDFC1204RQ,,-1.000000,1,,NSE,1.000000
230,8496,739JK37-SG,739JK37,,-1.000000,100,,NSE,1.000000
231,609,665ML30-SG,665ML30,,-1.000000,100,,NSE,1.000000
232,19968,HUDCO-ND,HUDCO,,-1.000000,1,,NSE,1.000000
233,454,684GJ30-SG,684GJ30,,-1.000000,100,,NSE,1.000000
234,5825,IBULHSGFIN-NL,IBULHSGFIN,,-1.000000,1,,NSE,1.000000
235,11945,ANZEN-IV,ANZEN,,-1.000000,200000,,NSE,1.000000
236,12879,VISESHINFO-BL,VISESHINFO,,-1.000000,1,,NSE,5.000000
237,12737,KOHINOOR-BL,KOHINOOR,,-1.000000,1,,NSE,5.000000
238,1270,AMBUJACEM-EQ,AMBUJACEM,,-1.000000,1,,NSE,5.000000
239,14197,NINSYS-BE,NINSYS,,-1.000000,1,,NSE,5.000000
240,12445,HINDOILEXP-BL,HINDOILEXP,,-1.000000,1,,NSE,5.000000
241,10587,ICICIMOM30-BL,ICICIMOM30,,-1.000000,1,,NSE,1.000000
242,16786,GET&D-BL,GET&D,,-1.000000,1,,NSE,5.000000
243,2746,716GA31-SG,716GA31,,-1.000000,100,,NSE,1.000000
244,8653,BSL-BE,BSL,,-1.000000,1,,NSE,5.000000
